Open,High,Low,Close,Volume,Close Time,Quote Volume,Trades,Taker Buy Base,Taker Buy Quote,Ignore,ema_fast,ema_slow,macd,signal_line,histogram,signal,position,cash,total,holdings,daily_return
82550.0,83256.8,82432.74,82962.84,2015.98624,2025-04-01 03:59:59.999,166985571.9501127,409277,1094.68944,90685468.5014382,0,82962.84,82962.84,0.0,0.0,0.0,0,0.0,10000.0,10000.0,0.0,
82962.84,83597.07,82886.87,83445.5,1822.06805,2025-04-01 07:59:59.999,151710653.0374665,276284,825.43502,68728903.3347517,0,83037.09538461539,82998.59259259258,38.50279202280217,7.700558404560434,30.802233618241736,1,0.1,1647.105449999999,9991.65545,8344.550000000001,-0.0008344550000000117
83445.5,84504.74,83410.0,83930.3,4005.56934,2025-04-01 11:59:59.999,336915781.8719222,484844,1888.36087,158859197.4568278,0,83174.51147928994,83067.60795610424,106.90352318569785,27.54115136078792,79.36237182490993,0,0.1,1647.105449999999,10040.13545,8393.03,0.004852048816395005
83930.31,85499.55,82544.0,85280.87,6895.46482,2025-04-01 15:59:59.999,579282887.9430327,1165509,3549.66305,298172561.0256524,0,83498.56663632226,83231.55329268912,267.013343633138,75.43558981525794,191.57775381788005,0,0.1,1647.105449999999,10175.192449999999,8528.087,0.013451710952763873
85280.88,85493.0,84720.0,84972.01,3624.09611,2025-04-01 19:59:59.999,308320894.0779312,648205,1883.42872,160238561.8097089,0,83725.25023073422,83360.47601174918,364.7742189850396,133.30331564921428,231.47090333582534,0,0.1,1647.105449999999,10144.306449999998,8497.201,-0.0030354217034981312
84972.0,85579.46,84773.58,85158.34,1827.21241,2025-04-01 23:59:59.999,155679913.6950028,344574,1004.84938,85618080.3047073,0,83945.72557985203,83493.65112198998,452.0744578620506,197.05754409178155,255.01691377026907,0,0.1,1647.105449999999,10162.93945,8515.834,0.0018367938795857963
85158.35,85255.95,84504.21,84550.0,2397.00391,2025-04-02 03:59:59.999,203493680.31102607,395674,1200.42204,101920887.6134071,0,84038.69087525942,83571.89918702777,466.79168823164946,251.00437291975516,215.7873153118943,0,0.1,1647.105449999999,10102.10545,8455.0,-0.005985866618540281
84550.0,84726.42,83904.72,84426.33,2284.55226,2025-04-02 07:59:59.999,192549506.70671752,377975,1092.63605,92093755.6666777,0,84098.32766368105,83635.19035835905,463.13730532200134,293.4309594002044,169.70634592179692,0,0.1,1647.105449999999,10089.738449999999,8442.633,-0.001224200248275964
84426.32,85450.0,84262.73,84566.91,2502.47319,2025-04-02 11:59:59.999,212447010.26963672,426721,1232.01701,104588681.6693528,0,84170.41725388396,83704.20662811023,466.2106257737323,327.98689267491,138.22373309882232,0,0.1,1647.105449999999,10103.79645,8456.691,0.0013932967707404043
84566.91,87333.0,84462.69,86757.67,11182.5669,2025-04-02 15:59:59.999,963030203.2294884,1485656,6116.90461,526709484.2909144,0,84568.45613790181,83930.38910010207,638.0670377997449,390.002921699877,248.06411609986787,0,0.1,1647.105449999999,10322.872449999999,8675.767,0.021682542901980018
86757.67,87333.0,86186.19,86900.02,6072.59633,2025-04-02 19:59:59.999,527080900.936012,940915,3389.9806,294354455.9650106,0,84927.15827053231,84150.36175935376,776.7965111785452,467.36163959561065,309.43487158293453,0,0.1,1647.105449999999,10337.10745,8690.002,0.0013789766432694694
86900.01,88500.0,82320.0,82516.29,15492.26441,2025-04-02 23:59:59.999,1318678458.3778827,1711297,7707.71778,658068318.6353853,0,84556.25545968118,84029.31940680904,526.9360528721445,479.2765222509174,47.65953062122708,0,0.1,1647.105449999999,9898.734449999998,8251.628999999999,-0.0424077046814485
82516.28,83998.02,82175.98,83483.97,5644.57078,2025-04-03 03:59:59.999,470578976.1203586,687905,3065.27791,255561726.0409504,0,84391.28846588408,83988.92315445282,402.36531143126194,463.8942800869864,-61.52896865572444,-1,0.0,9987.154053,9987.154053,0.0,0.008932414890673535
83483.97,83735.85,83000.0,83456.75,2431.18004,2025-04-03 07:59:59.999,202638555.2710226,417075,1142.97985,95276756.5469813,0,84247.51331728653,83949.50292078964,298.01039649688755,430.7175033689666,-132.70710687207907,0,0.0,9987.154053,9987.154053,0.0,0.0
83456.76,83788.23,83047.0,83096.01,3208.79996,2025-04-03 11:59:59.999,267847441.8318464,519872,1730.12174,144435975.8446141,0,84070.35896078091,83886.28122295337,184.07773782753793,381.3895502606809,-197.31181243314296,0,0.0,9987.154053,9987.154053,0.0,0.0
83096.01,83147.95,81211.24,82039.31,8823.0587,2025-04-03 15:59:59.999,723909311.763507,1364018,4175.51621,342629723.2105988,0,83757.88988989154,83749.46853977164,8.421350119897397,306.7959102325242,-298.3745601126268,0,0.0,9987.154053,9987.154053,0.0,0.0
82039.32,82448.21,81540.0,82008.7,4137.47371,2025-04-03 19:59:59.999,339269914.1643623,756070,2068.84674,169674331.5668647,0,83488.78375298514,83620.52272201078,-131.73896902563865,219.08893438089163,-350.82790340653025,0,0.0,9987.154053,9987.154053,0.0,0.0
82009.76,83332.2,81800.0,83213.09,3092.75816,2025-04-03 23:59:59.999,255055525.71329567,372546,1768.78547,145860885.4097921,0,83446.36932944896,83590.34252038035,-143.97319093138503,146.4765093184363,-290.4497002498214,0,0.0,9987.154053,9987.154053,0.0,0.0
83213.09,83413.46,82577.63,82818.52,3041.69884,2025-04-04 03:59:59.999,252523416.1784581,454735,1782.02061,147977700.6021401,0,83349.77712491836,83533.17048183366,-183.3933569153014,80.50253607168878,-263.8958929869902,0,0.0,9987.154053,9987.154053,0.0,0.0
82818.53,84000.0,82615.36,83992.85,3091.86585,2025-04-04 07:59:59.999,257472890.2933558,371277,1641.47987,136877632.9231713,0,83448.71141339246,83567.22081651265,-118.50940312018793,40.70014823331344,-159.20955135350135,0,0.0,9987.154053,9987.154053,0.0,0.0
83992.85,84720.0,81659.0,82680.45,9682.53553,2025-04-04 11:59:59.999,805982048.3504337,1146990,3966.42224,330578592.40752566,0,83330.51734979362,83501.53408936356,-171.0167395699391,-1.6432293273370642,-169.37351024260204,0,0.0,9987.154053,9987.154053,0.0,0.0
82680.44,83716.0,81849.05,82860.0,10092.60459,2025-04-04 15:59:59.999,836229362.350304,1705357,5018.7151,415867283.429103,0,83258.13006520999,83454.013045707,-195.88298049701552,-40.49117956127276,-155.39180093574276,0,0.0,9987.154053,9987.154053,0.0,0.0
82860.0,84620.01,82736.0,84009.99,5374.18478,2025-04-04 19:59:59.999,450475785.2117995,1067567,2768.40285,232101732.4074751,0,83373.80082440845,83495.19652380278,-121.3956993943284,-56.67208352788389,-64.7236158664445,0,0.0,9987.154053,9987.154053,0.0,0.0
84010.0,84450.0,83492.95,83889.87,1632.65017,2025-04-04 23:59:59.999,137159164.0423856,246660,719.14712,60429104.4952728,0,83453.19608219176,83524.43159611367,-71.23551392191439,-59.584769606689996,-11.650744315224394,0,0.0,9987.154053,9987.154053,0.0,0.0
83889.87,84266.0,83395.46,83624.01,1705.75257,2025-04-05 03:59:59.999,143020099.6374812,239305,723.95406,60712599.2577725,0,83479.47514646995,83531.80777417932,-52.3326277093729,-58.13434122722658,5.801713517853678,1,0.1,1616.3906520000019,9978.791652000002,8362.401,-0.0008373157113248375
83624.01,83868.0,83297.66,83525.34,1280.95023,2025-04-05 07:59:59.999,107089780.4424178,219611,479.73648,40113419.1687935,0,83486.53127778227,83531.32867979567,-44.79740201339882,-55.46695338446103,10.669551371062205,0,0.1,1616.3906520000019,9968.924652000002,8352.534,-0.0009887970752473496
83525.33,83894.7,83359.64,83452.69,1233.29028,2025-04-05 11:59:59.999,103126340.9635911,213123,577.98141,48344087.5485411,0,83481.32492735423,83525.5035924034,-44.17866504917038,-53.2092957174029,9.030630668232526,0,0.1,1616.3906520000019,9961.659652000002,8345.269,-0.0007287646615466992
83452.69,83550.68,82379.95,82618.26,2576.97263,2025-04-05 15:59:59.999,213507774.38656288,398946,1076.93803,89220857.8666226,0,83348.54570776127,83458.30036333649,-109.75465557521966,-64.51836768896625,-45.23628788625341,-1,0.0,9869.954826000001,9869.954826000001,0.0,-0.009205777872725251
82618.25,83146.0,82607.05,82860.0,974.18344,2025-04-05 19:59:59.999,80754537.728963,220621,467.37688,38742712.3938156,0,83273.38482964414,83413.98181790415,-140.59698826000385,-79.73409180317377,-60.862896456830086,0,0.0,9869.954826000001,9869.954826000001,0.0,0.0
82859.99,83688.0,82833.0,83537.99,1589.25553,2025-04-05 23:59:59.999,132128044.7423276,284144,703.65972,58520937.4921731,0,83314.0933173912,83423.1676091705,-109.07429177929589,-85.6021317983982,-23.472159980897686,0,0.0,9869.954826000001,9869.954826000001,0.0,0.0
83537.99,83817.63,83163.45,83344.14,1209.45565,2025-04-06 03:59:59.999,100947475.4034888,182376,599.81816,50083724.1641972,0,83318.71588394641,83417.31371219491,-98.59782824850117,-88.2012710884188,-10.396557160082367,0,0.0,9869.954826000001,9869.954826000001,0.0,0.0
83344.14,83533.01,83024.96,83024.96,1005.20003,2025-04-06 07:59:59.999,83731394.2420717,164055,426.253,35513252.4595358,0,83273.52267103158,83388.25047425454,-114.72780322296603,-93.50657751532826,-21.22122570763777,0,0.0,9869.954826000001,9869.954826000001,0.0,0.0
83024.97,83172.0,82666.0,82855.99,1208.00762,2025-04-06 11:59:59.999,100108969.3790082,252439,537.72938,44561248.0419919,0,83209.28687548825,83348.82377245791,-139.5368969696574,-102.7126414061941,-36.824255563463296,0,0.0,9869.954826000001,9869.954826000001,0.0,0.0
82855.99,82981.14,82217.83,82548.36,2530.9727,2025-04-06 15:59:59.999,208972753.89996672,506862,1332.9526,110060550.7979599,0,83107.60581772083,83289.53015968324,-181.92434196241084,-118.55498151743745,-63.36936044497338,0,0.0,9869.954826000001,9869.954826000001,0.0,0.0
